,precision,recall,f1-score,support
favor,0.7068965517241379,0.9318181818181818,0.803921568627451,44.0
against,0.6956521739130435,0.6153846153846154,0.6530612244897959,26.0
none,0.8333333333333334,0.5714285714285714,0.6779661016949152,35.0
accuracy,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333
macro avg,0.7452940196568383,0.7062104562104562,0.711649631604054,105.0
weighted avg,0.7462578234692178,0.7333333333333333,0.7245805182444244,105.0
