,precision,recall,f1-score,support
favor,0.8,0.8888888888888888,0.8421052631578948,63.0
against,0.65,0.7222222222222222,0.6842105263157895,18.0
none,0.7857142857142857,0.5945945945945946,0.676923076923077,37.0
accuracy,0.7711864406779662,0.7711864406779662,0.7711864406779662,0.7711864406779662
macro avg,0.7452380952380953,0.7352352352352353,0.734412955465587,118.0
weighted avg,0.7726392251815981,0.7711864406779662,0.7662252110066561,118.0
