,precision,recall,f1-score,support
favor,0.8688524590163934,0.8412698412698413,0.8548387096774194,63.0
against,0.6666666666666666,0.6666666666666666,0.6666666666666666,18.0
none,0.6923076923076923,0.7297297297297297,0.7105263157894737,37.0
accuracy,0.7796610169491526,0.7796610169491526,0.7796610169491526,0.7796610169491526
macro avg,0.7426089393302507,0.7458887458887459,0.7440105640445198,118.0
weighted avg,0.782653301130656,0.7796610169491526,0.7808840033380335,118.0
