,precision,recall,f1-score,support
favor,0.7397260273972602,0.8571428571428571,0.7941176470588235,63.0
against,0.5263157894736842,0.5555555555555556,0.5405405405405405,18.0
none,0.6923076923076923,0.4864864864864865,0.5714285714285714,37.0
accuracy,0.6949152542372882,0.6949152542372882,0.6949152542372882,0.6949152542372882
macro avg,0.6527831697262122,0.633061633061633,0.6353622530093118,118.0
weighted avg,0.6923034623045621,0.6949152542372882,0.6856101579431589,118.0
