,precision,recall,f1-score,support
favor,0.7254901960784313,0.8409090909090909,0.7789473684210527,44.0
against,0.6666666666666666,0.6923076923076923,0.6792452830188679,26.0
none,0.7037037037037037,0.5428571428571428,0.6129032258064516,35.0
accuracy,0.7047619047619048,0.7047619047619048,0.7047619047619048,0.7047619047619048
macro avg,0.6986201888162672,0.692024642024642,0.6903652924154574,105.0
weighted avg,0.70366220562299,0.7047619047619048,0.6989111854499305,105.0
