,precision,recall,f1-score,support
favor,0.8541666666666666,0.7735849056603774,0.811881188118812,53.0
against,0.8,0.8235294117647058,0.8115942028985507,34.0
none,0.6071428571428571,0.7083333333333334,0.6538461538461539,24.0
accuracy,0.7747747747747747,0.7747747747747747,0.7747747747747747,0.7747747747747747
macro avg,0.7537698412698414,0.7684825502528055,0.7591071816211722,111.0
weighted avg,0.7841645216645217,0.7747747747747747,0.777623545595995,111.0
