,precision,recall,f1-score,support
favor,0.8153846153846154,0.8412698412698413,0.8281250000000001,63.0
against,0.6190476190476191,0.7222222222222222,0.6666666666666666,18.0
none,0.75,0.6486486486486487,0.6956521739130435,37.0
accuracy,0.7627118644067796,0.7627118644067796,0.7627118644067796,0.7627118644067796
macro avg,0.7281440781440782,0.7373802373802375,0.7301479468599034,118.0
weighted avg,0.7649329484075247,0.7627118644067796,0.7619576731761238,118.0
