,precision,recall,f1-score,support
favor,0.7162162162162162,0.8412698412698413,0.7737226277372262,63.0
against,0.55,0.6111111111111112,0.5789473684210527,18.0
none,0.6666666666666666,0.43243243243243246,0.5245901639344263,37.0
accuracy,0.6779661016949152,0.6779661016949152,0.6779661016949152,0.6779661016949152
macro avg,0.6442942942942943,0.6282711282711283,0.6257533866975683,118.0
weighted avg,0.6753244770193921,0.6779661016949152,0.6658933410559149,118.0
