,precision,recall,f1-score,support
favor,0.8333333333333334,0.873015873015873,0.8527131782945736,63.0
against,0.65,0.7222222222222222,0.6842105263157895,18.0
none,0.78125,0.6756756756756757,0.7246376811594203,37.0
accuracy,0.788135593220339,0.788135593220339,0.788135593220339,0.788135593220339
macro avg,0.7548611111111111,0.7569712569712571,0.7538537952565946,118.0
weighted avg,0.7890360169491526,0.788135593220339,0.7868501178740754,118.0
