,precision,recall,f1-score,support
favor,0.45263157894736844,0.9772727272727273,0.6187050359712231,44.0
against,0.0,0.0,0.0,26.0
none,0.7142857142857143,0.14285714285714285,0.23809523809523808,35.0
accuracy,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.45714285714285713
macro avg,0.38897243107769425,0.37337662337662336,0.28560009135548703,105.0
weighted avg,0.4277694235588973,0.45714285714285713,0.33863195158159193,105.0
