,precision,recall,f1-score,support
favor,0.5915492957746479,0.9545454545454546,0.7304347826086957,44.0
against,0.8571428571428571,0.46153846153846156,0.6,26.0
none,0.85,0.4857142857142857,0.6181818181818183,35.0
accuracy,0.6761904761904762,0.6761904761904762,0.6761904761904762,0.6761904761904762
macro avg,0.7662307176391683,0.633932733932734,0.6495388669301713,105.0
weighted avg,0.743465555236179,0.6761904761904762,0.6607189911537739,105.0
