,precision,recall,f1-score,support
favor,0.8333333333333334,0.9433962264150944,0.8849557522123894,53.0
against,0.7804878048780488,0.9411764705882353,0.8533333333333334,34.0
none,1.0,0.4166666666666667,0.5882352941176471,24.0
accuracy,0.8288288288288288,0.8288288288288288,0.8288288288288288,0.8288288288288288
macro avg,0.8712737127371274,0.7670797878899988,0.7755081265544567,111.0
weighted avg,0.8531824507434265,0.8288288288288288,0.8111138311658874,111.0
