,precision,recall,f1-score,support
favor,0.8064516129032258,0.9433962264150944,0.8695652173913043,53.0
against,0.7619047619047619,0.9411764705882353,0.8421052631578947,34.0
none,1.0,0.2916666666666667,0.45161290322580644,24.0
accuracy,0.8018018018018018,0.8018018018018018,0.8018018018018018,0.8018018018018018
macro avg,0.8561187916026626,0.725413121223332,0.7210944612583351,111.0
weighted avg,0.834654931429125,0.8018018018018018,0.7707859923110533,111.0
